"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_BEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULT_ATUAL_BEM_CANDIDATO";"HH_ULT_ATUAL_BEM_CANDIDATO"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"BA";"37117";"MARACÁS";50002195118;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"GOL POWER 1.0 NTE 0166";"14000,00";"06/10/2024";"19:58:08"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"BA";"37117";"MARACÁS";50002195118;2;12;"Casa";"Imovel residencial urbano Rua Jr Santos 998 em Maracas";"120000,00";"06/10/2024";"19:58:08"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"BA";"37117";"MARACÁS";50002195118;3;12;"Casa";"Imovel residencial Urnbano Rua JR Santos 980 em Maracas";"80000,00";"06/10/2024";"19:58:08"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"BA";"37117";"MARACÁS";50002195118;4;11;"Apartamento";"50% de Imovel financiado em sociedade em Vitoria da Conquista ";"180000,00";"06/10/2024";"19:58:08"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"BA";"37117";"MARACÁS";50002195118;5;11;"Apartamento";"20% de Imovel Financiado em Vitoria da Conquista";"36000,00";"06/10/2024";"19:58:08"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"BA";"37117";"MARACÁS";50002195118;6;11;"Apartamento";"60% de Imovel Financiado em sociedade em Salvador";"110000,00";"06/10/2024";"19:58:08"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"BA";"37117";"MARACÁS";50002195118;7;13;"Terreno";"10% de Imovel Rural adquirido em socieade no municipio de Iramaia ";"10000,00";"06/10/2024";"19:58:08"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"BA";"37117";"MARACÁS";50002195118;8;17;"Benfeitorias";"Laje em imóvel comercial urbano situado a Rua Dr Antonio Muniz, 31 em maracás";"25000,00";"06/10/2024";"19:58:08"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"BA";"37117";"MARACÁS";50002195118;9;13;"Terreno";"05 Ha de terra na Fazenda do Agreste Estrada do Capinado em Vitoria da conquista";"10000,00";"06/10/2024";"19:58:08"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"BA";"37117";"MARACÁS";50002195120;1;12;"Casa";"IMOVELNA RUA ALCEU PEREIRA, 71";"180000,00";"06/10/2024";"19:58:08"
