"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_BEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULT_ATUAL_BEM_CANDIDATO";"HH_ULT_ATUAL_BEM_CANDIDATO"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"PA";"05452";"SÃO FÉLIX DO XINGU";140002187288;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"PICUP STRADA";"70000,00";"30/10/2024";"15:25:22"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"PA";"05452";"SÃO FÉLIX DO XINGU";140002187288;2;14;"Terra nua";"SITIO PARREIRA";"500000,00";"30/10/2024";"15:25:22"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"PA";"05452";"SÃO FÉLIX DO XINGU";140002187289;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"HILUX";"110000,00";"30/10/2024";"15:25:21"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"PA";"05452";"SÃO FÉLIX DO XINGU";140002187289;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTOCICLETA HONDA BROS 150";"8000,00";"30/10/2024";"15:25:21"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"PA";"05452";"SÃO FÉLIX DO XINGU";140002187289;3;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTOCICLETA HONDA TORNADO 250";"9000,00";"30/10/2024";"15:25:21"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"PA";"05452";"SÃO FÉLIX DO XINGU";140002187290;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"PICAP STRADA VULCANO";"100000,00";"30/10/2024";"15:25:21"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"PA";"05452";"SÃO FÉLIX DO XINGU";140002187292;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CAMINHAO IVECO 380";"130000,00";"30/10/2024";"15:25:21"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"PA";"05452";"SÃO FÉLIX DO XINGU";140002187292;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTOCICLETA HONDA TORNADO 250CC";"8000,00";"30/10/2024";"15:25:21"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"PA";"05452";"SÃO FÉLIX DO XINGU";140002187295;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"YAMAHA CROS";"10000,00";"30/10/2024";"15:25:21"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"PA";"05452";"SÃO FÉLIX DO XINGU";140002187298;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"HILUX";"170000,00";"30/10/2024";"15:25:21"
