"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_BEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULT_ATUAL_BEM_CANDIDATO";"HH_ULT_ATUAL_BEM_CANDIDATO"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"SC";"80632";"CAMPO ALEGRE";240002195145;1;63;"Dinheiro em espécie - moeda nacional";"DINHEIRO EM ESPECIE";"10000,00";"06/10/2024";"19:30:28"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"SC";"80632";"CAMPO ALEGRE";240002195145;2;12;"Casa";"CASA EM ALVENARIA";"110000,00";"06/10/2024";"19:30:28"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"SC";"80632";"CAMPO ALEGRE";240002195146;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VW GOL 1.0 2013 - IR 2023";"22758,00";"06/10/2024";"19:30:28"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"SC";"80632";"CAMPO ALEGRE";240002195146;2;13;"Terreno";"AREA DE 460 M² - IR 2023";"42000,00";"06/10/2024";"19:30:28"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"SC";"80632";"CAMPO ALEGRE";240002195146;3;39;"Outras participações societárias";"PARTICIPAÇÃO CAPITAL SOCILA EMPRESA - IR 2023";"3000,00";"06/10/2024";"19:30:28"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"SC";"80632";"CAMPO ALEGRE";240002195146;4;45;"Aplicação de renda fixa (CDB, RDB e outros)";"BANCO DO BRASIL - SALDO EM 06/08/2024";"1116,95";"06/10/2024";"19:30:28"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"SC";"80632";"CAMPO ALEGRE";240002195146;5;45;"Aplicação de renda fixa (CDB, RDB e outros)";"CONTA SICOOB SALDO 06/08/2024";"6950,62";"06/10/2024";"19:30:28"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"SC";"80632";"CAMPO ALEGRE";240002195146;6;45;"Aplicação de renda fixa (CDB, RDB e outros)";"APLICAÇÃO SICOOB 31/07/2024";"10386,63";"06/10/2024";"19:30:28"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"SC";"80632";"CAMPO ALEGRE";240002195146;7;13;"Terreno";"RURAL COM 30.000,00M²";"300000,00";"06/10/2024";"19:30:28"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"SC";"80632";"CAMPO ALEGRE";240002195147;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"GM CELTA -IR 2023";"9500,00";"06/10/2024";"19:30:28"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"SC";"80632";"CAMPO ALEGRE";240002195147;2;49;"Outras aplicações e Investimentos";"COTA CAPITAL SICOOB - IR 2023";"153,36";"06/10/2024";"19:30:28"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"SC";"80632";"CAMPO ALEGRE";240002195147;3;49;"Outras aplicações e Investimentos";"COTA CAPITAL SICREDI - IR 2023";"814,84";"06/10/2024";"19:30:28"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"SC";"80632";"CAMPO ALEGRE";240002195147;4;29;"Outros bens móveis";"APARELHOS E EQUIPAMENTOS - IR 2023";"50000,00";"06/10/2024";"19:30:28"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"SC";"80632";"CAMPO ALEGRE";240002195148;1;45;"Aplicação de renda fixa (CDB, RDB e outros)";"CONTA BANCO DO BRASIL - 06/08/2024";"6176,51";"06/10/2024";"19:30:28"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"SC";"80632";"CAMPO ALEGRE";240002195148;2;45;"Aplicação de renda fixa (CDB, RDB e outros)";"CONTA BRADESCO - 06/08/2024";"20047,05";"06/10/2024";"19:30:28"
