"ANO_ELEICAO";"SG_UF";"SG_UE";"SQ_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO"
"2024";"SP";"71072";"000000001";"Apartamento";"APARTAMENTO NO BAIRRO PINHEIROS, 120M2";"850000,00"
"2024";"SP";"71072";"000000001";"Veículo automotor terrestre";"VOLKSWAGEN GOLF 2022";"120000,00"
"2024";"SP";"71072";"000000001";"Depósito bancário";"CONTA POUPANÇA BANCO DO BRASIL";"45000,00"
"2024";"SP";"71072";"000000002";"Casa";"CASA EM CONDOMÍNIO ALPHAVILLE, 350M2";"2500000,00"
"2024";"SP";"71072";"000000002";"Veículo automotor terrestre";"BMW X5 2023";"450000,00"
"2024";"SP";"71072";"000000002";"Aplicação de renda fixa";"CDB ITAÚ";"380000,00"
"2024";"SP";"71072";"000000002";"Ações";"AÇÕES PETROBRAS";"125000,00"
"2024";"SP";"71072";"000000003";"Apartamento";"APARTAMENTO ZONA LESTE, 65M2";"280000,00"
"2024";"SP";"71072";"000000003";"Veículo automotor terrestre";"HONDA CIVIC 2020";"95000,00"
"2024";"SP";"71072";"000000004";"Terreno";"TERRENO GUARULHOS 500M2";"150000,00"
"2024";"SP";"71072";"000000005";"#NULO";"#NULO";"-1"
"2024";"SP";"63134";"000000006";"Fazenda";"FAZENDA EM RIBEIRÃO PRETO, 500 HECTARES";"15000000,00"
"2024";"SP";"63134";"000000006";"Apartamento";"COBERTURA EM CAMPINAS";"1800000,00"
"2024";"SP";"63134";"000000006";"Veículo automotor terrestre";"MERCEDES BENZ GLE 2024";"680000,00"
"2024";"SP";"63134";"000000006";"Aeronave";"HELICÓPTERO ROBINSON R44";"2500000,00"
"2024";"SP";"63134";"000000007";"Casa";"CASA EM CONDOMÍNIO CAMPINAS";"950000,00"
"2024";"SP";"63134";"000000007";"Veículo automotor terrestre";"TOYOTA COROLLA 2023";"180000,00"
"2024";"SP";"63134";"000000008";"Apartamento";"APARTAMENTO CENTRO CAMPINAS";"420000,00"
"2024";"SP";"#NULO";"000000009";"#NE";"#NE";"-3"
"2024";"SP";"71072";"000000010";"Depósito bancário";"CONTA CORRENTE";"5000,00"
