"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_BEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULT_ATUAL_BEM_CANDIDATO";"HH_ULT_ATUAL_BEM_CANDIDATO"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"CE";"14214";"IRACEMA";60002312724;1;12;"Casa";"Localizada no bairro Luciano Cavalcante em Fortaleza/CE.";"640000,00";"06/10/2024";"19:42:27"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"CE";"14214";"IRACEMA";60002312724;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Jeep Compassa Longitude, ano e modelo 2017.";"95000,00";"06/10/2024";"19:42:27"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"CE";"14214";"IRACEMA";60002312724;3;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Toyota Hilux SW4, ano 2023 / modelo 2024.";"380000,00";"06/10/2024";"19:42:27"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"CE";"14214";"IRACEMA";60002312725;1;12;"Casa";"Casa Residencial na cidade de Iracema";"350000,00";"06/10/2024";"19:42:27"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"CE";"14214";"IRACEMA";60002312725;2;61;"Depósito bancário em conta corrente no País";"Conta Corrente Caixa Econômica Federal";"21,17";"06/10/2024";"19:42:27"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"CE";"14150";"IPAUMIRIM";60002202958;1;11;"Apartamento";"UM APARTAMENTO NA CIDADE DE CAJAZEIRAS-PB";"150000,00";"06/10/2024";"22:14:48"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"CE";"14150";"IPAUMIRIM";60002202958;2;11;"Apartamento";"UM APARTAMENTO NA CIDADE DE IPAUMIRIM-CE ";"100000,00";"06/10/2024";"22:14:48"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"CE";"14150";"IPAUMIRIM";60002202958;3;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"UM CARRO DE PASSEIO, ANO 2022/2013";"95000,00";"06/10/2024";"22:14:48"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"CE";"14150";"IPAUMIRIM";60002202958;4;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"UMA MOTO, ANO 2022";"12000,00";"06/10/2024";"22:14:48"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"CE";"14150";"IPAUMIRIM";60002202960;1;11;"Apartamento";"UM APARTAMENTO NA CIDADE DE CAJAZEIRAS-PB";"224000,00";"06/10/2024";"22:14:48"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"CE";"14150";"IPAUMIRIM";60002202960;2;13;"Terreno";"UM TERRENO PARA EDIFICAÇÃO NA CIDADE DE IPAUMIRIM-CE";"80000,00";"06/10/2024";"22:14:48"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"CE";"14150";"IPAUMIRIM";60002202960;3;14;"Terra nua";"UMA PARTE DE TERRA COM 66 TAREFAS";"30000,00";"06/10/2024";"22:14:48"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"CE";"14150";"IPAUMIRIM";60002202960;4;2;"Prédio comercial";"UM PREDIO COMERCIALNA CIDADE DE IPAUMIRIM-CE";"50000,00";"06/10/2024";"22:14:48"
