"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_BEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULT_ATUAL_BEM_CANDIDATO";"HH_ULT_ATUAL_BEM_CANDIDATO"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"MT";"90077";"ALTO GARÇAS";110002184468;1;13;"Terreno";"um lote de terras localizado na cidade de Alto Garças - MT";"80000,00";"06/10/2024";"18:41:45"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"MT";"90077";"ALTO GARÇAS";110002184468;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VW saveiro 1.6, ano 2002/2002";"25000,00";"06/10/2024";"18:41:45"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"MT";"90077";"ALTO GARÇAS";110002184468;3;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Chevrolet Cobalt 1.4 LT, ano 2013/2013";"35000,00";"06/10/2024";"18:41:45"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"MT";"90077";"ALTO GARÇAS";110002184468;4;29;"Outros bens móveis";"reboque semi reboque ano 2022/2022";"10000,00";"06/10/2024";"18:41:45"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"MT";"90077";"ALTO GARÇAS";110002184468;5;39;"Outras participações societárias";"empresa de direito privado localizada em Alto Garças - MT (VIP GAZ)";"300000,00";"06/10/2024";"18:41:45"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"MT";"90077";"ALTO GARÇAS";110002184468;6;2;"Prédio comercial";"lote com pequena edificaçao comercial localizada no municipio de Alto Garças - MT";"100000,00";"06/10/2024";"18:41:45"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"MT";"90077";"ALTO GARÇAS";110002184470;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Fiat Siena elx, 2007";"22500,00";"06/10/2024";"18:41:45"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"MT";"90077";"ALTO GARÇAS";110002184471;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"GM CLASSIC ano/modelo 2005/2006";"26000,00";"06/10/2024";"18:41:45"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"MT";"90077";"ALTO GARÇAS";110002184472;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Honda Civic LXL, ano 2012";"60000,00";"06/10/2024";"18:41:45"
"27/01/2026";"19:30:09";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"MT";"90077";"ALTO GARÇAS";110002184473;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"vw T cross sense, ano 2020";"90000,00";"06/10/2024";"18:41:45"
