"ANO_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"CD_CARGO";"DS_CARGO";"SQ_CANDIDATO";"NM_URNA_CANDIDATO";"NR_CANDIDATO";"SG_PARTIDO";"NM_PARTIDO"
"2024";"SP";"71072";"SÃO PAULO";"11";"PREFEITO";"000000001";"MARIA SILVA";"12";"PT";"PARTIDO DOS TRABALHADORES"
"2024";"SP";"71072";"SÃO PAULO";"11";"PREFEITO";"000000002";"JOSÉ SANTOS";"45";"PSDB";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA"
"2024";"SP";"71072";"SÃO PAULO";"13";"VEREADOR";"000000003";"ANA COSTA";"12345";"PT";"PARTIDO DOS TRABALHADORES"
"2024";"SP";"71072";"SÃO PAULO";"13";"VEREADOR";"000000004";"CARLOS LIMA";"45678";"PSDB";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA"
"2024";"SP";"71072";"SÃO PAULO";"13";"VEREADOR";"000000005";"FERNANDA OLIVEIRA";"22222";"PL";"PARTIDO LIBERAL"
"2024";"SP";"63134";"CAMPINAS";"11";"PREFEITO";"000000006";"ROBERTO ALMEIDA";"55";"MDB";"MOVIMENTO DEMOCRÁTICO BRASILEIRO"
"2024";"SP";"63134";"CAMPINAS";"13";"VEREADOR";"000000007";"PATRICIA SOUZA";"55123";"MDB";"MOVIMENTO DEMOCRÁTICO BRASILEIRO"
"2024";"SP";"63134";"CAMPINAS";"13";"VEREADOR";"000000008";"MARCELO FERREIRA";"13456";"PT";"PARTIDO DOS TRABALHADORES"
"2024";"SP";"#NULO";"#NULO";"13";"VEREADOR";"000000009";"CANDIDATO NULO";"99999";"#NULO";"#NULO"
"2024";"SP";"71072";"SÃO PAULO";"13";"VEREADOR";"000000010";"JOÃO PEREIRA";"11111";"UNIÃO";"UNIÃO BRASIL"
